M1,M2,M3,M4,R,P,E,RP,RE,PE,Y
5.375,2.602,2.617,3.98,1,2,6,2,6,12,2401.64
5.375,2.602,2.617,3.98,1,2,6,2,6,12,2405.53
5.292,3.154,1.693,3.37,1,2,7,2,7,14,2406.59
5.292,3.154,1.693,3.37,1,2,7,2,7,14,2408.89
5.379,2.618,1.984,5.04,1,2,6,2,6,12,2456.92
5.379,2.618,1.984,5.04,1,2,6,2,6,12,2463.96
5.306,2.619,1.985,7.29,1,2,6,2,6,12,2466.58
5.387,2.604,2.618,6.02,1,2,6,2,6,12,2477.79
5.387,2.604,2.618,6.02,1,2,6,2,6,12,2483.46
5.348,3.149,1.694,4.09,1,2,6,2,6,12,2506.53
